Date,Station,Demand,Temperature,PrecipIntensity,Humidity,CloudCover,Pressure,Sol,WindSpeed
02/01/2016 00:00,Hermosillo PPA,225.622,12.1,0,48.3,0,1017,0,0.4
02/01/2016 01:00,Hermosillo PPA,213.62,11.2,0,53.8,0.2,1017,0,0.8
02/01/2016 02:00,Hermosillo PPA,207.36,10.3,0,60,0.6,1017,0,1.1
02/01/2016 03:00,Hermosillo PPA,201.374,9.4,0,66.8,1,1017,0,1.4
02/01/2016 04:00,Hermosillo PPA,199.018,9.2,0,69.8,2.2,1017,0,1.5
02/01/2016 05:00,Hermosillo PPA,198.43,9,0,72.9,4.2,1017,0,1.7
02/01/2016 06:00,Hermosillo PPA,203.617,8.8,0,76.1,6.3,1016,0,1.8
02/01/2016 07:00,Hermosillo PPA,212.29,9.2,0,74.3,6.3,1017,0,2.1
02/01/2016 08:00,Hermosillo PPA,217.73,9.6,0,72.6,4.3,1017,0,2.4
02/01/2016 09:00,Hermosillo PPA,231.407,10.1,0,71,2.3,1018,76.1,2.8
02/01/2016 10:00,Hermosillo PPA,244.533,13.4,0,56.1,1.1,1018,272.6,2.6
02/01/2016 11:00,Hermosillo PPA,253.008,16.7,0,44.5,0.9,1018,456.3,2.5
02/01/2016 12:00,Hermosillo PPA,256.27,20,0,35.3,0.6,1018,584.2,2.4
02/01/2016 13:00,Hermosillo PPA,259.443,21.5,0,34.2,0.4,1017,646.1,1.6
02/01/2016 14:00,Hermosillo PPA,261.875,23.1,0,33.2,0.3,1015,644.4,0.9
02/01/2016 15:00,Hermosillo PPA,259.428,24.6,0,32.2,0.1,1014,578,0.2
02/01/2016 16:00,Hermosillo PPA,257.684,23.8,0,34.5,0,1014,442.7,0.9
02/01/2016 17:00,Hermosillo PPA,254.959,22.9,0,37.1,0,1015,242.2,1.6
02/01/2016 18:00,Hermosillo PPA,262.635,22,0,39.9,0,1015,58.6,2.3
02/01/2016 19:00,Hermosillo PPA,284.921,20.2,0,43.6,0,1015,0,2.3
02/01/2016 20:00,Hermosillo PPA,281.805,18.4,0,47.8,0,1016,0,2.4
02/01/2016 21:00,Hermosillo PPA,276.893,16.5,0,52.4,0,1017,0,2.4
02/01/2016 22:00,Hermosillo PPA,268.72,15.3,0,57.2,0,1017,0,2.2
02/01/2016 23:00,Hermosillo PPA,255.572,14.2,0,62.5,0,1017,0,1.9
03/01/2016 00:00,Hermosillo PPA,241.728,13,0,68.2,0,1017,0,1.7
03/01/2016 01:00,Hermosillo PPA,228.782,12.2,0,72.7,0,1017,0,1.7
03/01/2016 02:00,Hermosillo PPA,219.357,11.3,0,77.5,0,1016,0,1.8
03/01/2016 03:00,Hermosillo PPA,212.812,10.5,0,82.5,0,1016,0,1.8
03/01/2016 04:00,Hermosillo PPA,208.776,10.1,0,83.4,0,1016,0,1.8
03/01/2016 05:00,Hermosillo PPA,208.366,9.7,0,84.4,0,1016,0,1.8
03/01/2016 06:00,Hermosillo PPA,208.943,9.3,0,85.4,0,1016,0,1.8
03/01/2016 07:00,Hermosillo PPA,213.584,9.3,0,82.4,0,1016,0,2
03/01/2016 08:00,Hermosillo PPA,212.71,9.4,0,79.5,0,1017,0,2.2
03/01/2016 09:00,Hermosillo PPA,220.894,9.5,0,76.7,0,1017,75.8,2.4
03/01/2016 10:00,Hermosillo PPA,230.096,13.1,0,60.2,0,1017,272.9,2.4
03/01/2016 11:00,Hermosillo PPA,237.911,16.6,0,47.5,0,1017,457.3,2.5
03/01/2016 12:00,Hermosillo PPA,242.507,20.2,0,37.6,0,1018,585.8,2.5
03/01/2016 13:00,Hermosillo PPA,244.534,22.1,0,34.1,0,1016,648,2.2
03/01/2016 14:00,Hermosillo PPA,246.456,23.9,0,31,0,1015,646.3,2
03/01/2016 15:00,Hermosillo PPA,245.451,25.8,0,28.2,0,1013,579.7,1.7
03/01/2016 16:00,Hermosillo PPA,243.892,24.9,0,31.3,0,1013,444.4,1.7
03/01/2016 17:00,Hermosillo PPA,243.069,24.1,0,34.7,0,1012,243.8,1.7
03/01/2016 18:00,Hermosillo PPA,250.034,23.2,0,38.4,0,1012,60,1.7
03/01/2016 19:00,Hermosillo PPA,273.641,21.3,0,42.5,0,1012,0,1.9
03/01/2016 20:00,Hermosillo PPA,274.727,19.3,0,47,0,1013,0,2
03/01/2016 21:00,Hermosillo PPA,272.517,17.4,0,52.1,0,1013,0,2.2
03/01/2016 22:00,Hermosillo PPA,262.994,16.2,0,57.4,0,1013,0,1.8
03/01/2016 23:00,Hermosillo PPA,250.129,15,0,63.2,0,1013,0,1.5
04/01/2016 00:00,Hermosillo PPA,235.155,13.8,0,69.5,0,1013,0,1.1
04/01/2016 01:00,Hermosillo PPA,223.129,13.7,0,69.6,0,1013,0,1.2
04/01/2016 02:00,Hermosillo PPA,219.51,13.6,0,69.7,0,1013,0,1.2
04/01/2016 03:00,Hermosillo PPA,211.979,13.5,0,69.8,0,1013,0,1.3
04/01/2016 04:00,Hermosillo PPA,210.543,12.4,0,75.2,0,1013,0,1.4
04/01/2016 05:00,Hermosillo PPA,214.288,11.3,0,81,0,1013,0,1.5
04/01/2016 06:00,Hermosillo PPA,226.198,10.2,0,87.3,0,1012,0,1.7
04/01/2016 07:00,Hermosillo PPA,243.606,10.3,0,87,0,1013,0,1.8
04/01/2016 08:00,Hermosillo PPA,257.81,10.4,0,86.8,0,1014,0,1.9
04/01/2016 09:00,Hermosillo PPA,274.445,10.4,0,86.5,0,1014,69.1,2
04/01/2016 10:00,Hermosillo PPA,288.263,13.3,0.08,72.5,1.5,1014,239.7,2.2
04/01/2016 11:00,Hermosillo PPA,298.129,16.1,0.08,60.9,4.5,1015,379.8,2.4
04/01/2016 12:00,Hermosillo PPA,305.023,18.9,0.08,51.4,7.4,1015,450.7,2.6
04/01/2016 13:00,Hermosillo PPA,310.489,19.5,0.1,50.5,19.4,1014,458.6,2.9
04/01/2016 14:00,Hermosillo PPA,313.952,20.2,0.1,49.7,40.5,1013,414.3,3.2
04/01/2016 15:00,Hermosillo PPA,314.073,20.8,0.1,48.9,61.5,1012,331.6,3.6
04/01/2016 16:00,Hermosillo PPA,311.588,20.4,0.16,51.3,66.9,1012,224.8,3.4
04/01/2016 17:00,Hermosillo PPA,311.849,20.1,0.16,53.8,56.5,1012,117.5,3.2
